,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
141,Bengkulu,-3.8,102.27,76.55,80,39,4.29,ID,1597450375
142,Kpandu,7.0,0.29,73.17,91,100,7.58,GH,1597450467
143,Chui,-33.7,-53.46,53.87,89,80,6.2,UY,1597450467
144,Calama,-22.47,-68.93,55.4,10,0,16.11,CL,1597450257
145,Norman Wells,65.28,-126.83,59.0,87,90,14.99,CA,1597450468
146,Saint-Augustin,51.23,-58.65,54.63,61,1,3.53,CA,1597450468
147,Cherskiy,68.75,161.3,46.81,68,97,13.0,RU,1597450468
148,Bowen,-20.02,148.23,79.0,83,5,2.95,AU,1597450468
149,Rogaška Slatina,46.24,15.64,66.2,88,95,5.82,SI,1597450468
150,Hong Kong,22.29,114.16,88.0,74,0,5.28,HK,1597450294
151,Te Anau,-45.42,167.72,44.31,68,31,0.13,NZ,1597450469
152,West Wendover,40.74,-114.07,93.2,10,1,10.29,US,1597450469
153,Vanimo,-2.67,141.3,78.76,77,100,4.9,PG,1597450469
154,Nemuro,43.32,145.57,57.2,100,75,1.12,JP,1597450446
155,Itarema,-2.92,-39.92,77.63,76,15,15.61,BR,1597450470
156,Ballina,-28.87,153.57,64.99,93,70,13.38,AU,1597450470
157,Amazar,53.86,120.88,57.61,68,99,5.75,RU,1597450470
158,Bahía Blanca,-38.72,-62.27,47.14,55,27,8.66,AR,1597450470
159,Zhanakorgan,43.91,67.25,72.3,27,0,6.33,KZ,1597450470
160,Nome,64.5,-165.41,57.0,76,40,14.99,US,1597450471
161,La Ronge,55.1,-105.28,69.8,43,40,8.05,CA,1597450471
162,East London,-33.02,27.91,64.26,28,0,4.61,ZA,1597450471
163,Tobermory,45.25,-81.67,75.0,64,0,9.71,CA,1597450471
164,Gari,59.43,62.35,45.03,83,95,4.45,RU,1597450471
165,Vilhena,-12.74,-60.15,80.6,54,55,6.93,BR,1597450472
166,Huarmey,-10.07,-78.15,60.66,82,80,10.33,PE,1597450472
167,Camacha,33.08,-16.33,71.6,73,20,9.17,PT,1597450472
168,Acurenam,1.03,10.65,68.13,94,63,5.23,GQ,1597450472
169,Jinchang,38.5,102.17,68.2,53,67,2.08,CN,1597450472
170,Kapuskasing,49.42,-82.43,84.2,42,20,8.05,CA,1597450473
171,Fortuna,40.6,-124.16,87.01,44,74,1.99,US,1597450473
172,Mahajanga,-15.72,46.32,73.53,63,87,12.82,MG,1597450473
173,Sakakah,29.97,40.21,84.2,26,0,13.87,SA,1597450473
174,Lavrentiya,65.58,-171.0,59.63,56,87,7.61,RU,1597450474
175,Oxbow,49.23,-102.17,71.01,63,58,1.01,CA,1597450401
176,Hasaki,35.73,140.83,90.0,79,75,3.36,JP,1597450365
177,Akdepe,42.06,59.38,69.8,46,0,4.7,TM,1597450474
178,Mehamn,71.04,27.85,51.71,91,100,9.62,NO,1597450474
179,Inuvik,68.35,-133.72,55.4,76,90,8.05,CA,1597450475
180,Police,53.55,14.57,66.0,82,9,1.12,PL,1597450332
181,Volchikha,52.03,80.38,53.38,90,46,4.07,RU,1597450475
182,Grafton,42.21,-71.69,75.2,47,1,6.93,US,1597450381
183,Mount Darwin,-16.77,31.58,51.28,92,0,3.62,ZW,1597450475
184,Kuril'sk,45.23,147.88,58.12,78,88,8.79,RU,1597450326
185,Olafsvik,64.89,-23.71,49.82,79,22,12.08,IS,1597450476
186,Shintomi,32.08,131.47,89.6,55,0,5.82,JP,1597450476
187,Saint Paul Harbor,57.79,-152.41,71.6,40,1,11.41,US,1597450476
188,Kavaratti,10.57,72.64,82.18,78,100,19.86,IN,1597450476
189,Benghazi,32.12,20.07,79.07,81,0,11.36,LY,1597450476
190,Haines Junction,60.75,-137.51,58.46,58,100,0.96,CA,1597450477
191,Soyo,-6.13,12.37,71.44,87,10,8.66,AO,1597450477
192,Fairbanks,64.84,-147.72,71.6,37,75,4.74,US,1597450477
193,Luanda,-8.84,13.23,71.6,83,75,5.82,AO,1597450477
194,Langsa,4.47,97.97,75.99,87,73,2.35,ID,1597450477
195,Clyde River,70.47,-68.59,42.8,93,90,16.11,CA,1597450477
196,Khovd,48.01,91.64,62.22,54,100,5.61,MN,1597450284
197,Kudahuvadhoo,2.67,72.89,83.35,65,73,6.38,MV,1597450478
198,Tarusan,8.65,117.51,82.6,74,12,2.19,PH,1597450478
199,Narsaq,60.92,-46.05,48.2,76,18,5.82,GL,1597450478
200,Sitka,57.05,-135.33,57.2,93,90,10.29,US,1597450479
201,City of San Pedro,14.35,121.02,81.0,94,80,1.12,PH,1597450479
202,Belmonte,-15.86,-38.88,73.4,78,1,9.17,BR,1597450479
